ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
887,poor,12,other bank,new car,2366,moderate,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,36,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,middle
888,no account,39,existing  credits paid back duly till now,used car,2569,moderate,1 to 4 years,most,male,single,0,more than 7 years,saving,24,none,own,1,skilled,0,0,1,Good,Youth,more than 2 year,middle
889,Negative,30,no credits taken/ all credits paid back duly,business,8072,none,less than 1  year,moderate,male,single,0,4 to 7 years,saving,25,bank,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
890,no account,10,existing  credits paid back duly till now,furniture/equipment,1924,poor,1 to 4 years,less,male,single,0,more than 7 years,insurance,38,none,own,1,skilled,0,1,0,Good,Old.Adult,within 1 year,less than 2k
891,no account,15,delay history,furniture/equipment,1478,poor,1 to 4 years,most,male,married,0,4 to 7 years,property,33,bank,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
892,Negative,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,poor,1 to 4 years,moderate,male,single,1,1 to 4 years,property,32,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
893,no account,15,existing  credits paid back duly till now,new car,3186,rich,4 to 7 years,moderate,female,married,0,4 to 7 years,saving,20,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,middle
894,no account,24,existing  credits paid back duly till now,new car,1474,moderate,less than 1  year,most,male,married,0,4 to 7 years,property,33,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
895,no account,54,no credits taken/ all credits paid back duly,used car,9436,none,1 to 4 years,moderate,male,single,0,1 to 4 years,insurance,39,none,own,1,unskilled,1,0,1,Good,Old.Adult,more than 2 year,middle
896,no account,12,other bank,furniture/equipment,522,moderate,more than 7 years,most,male,single,0,more than 7 years,insurance,42,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,within 2 year,less than 2k
897,no account,4,other bank,new car,3380,poor,4 to 7 years,less,female,married,0,less than 1 year,property,37,none,own,1,skilled,1,0,1,Good,Old.Adult,within 1 year,middle
898,Negative,36,existing  credits paid back duly till now,used car,5493,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,42,none,free,1,skilled,1,0,1,Good,Old.Adult,more than 2 year,middle
899,Negative,6,other bank,new car,609,poor,4 to 7 years,most,female,married,0,4 to 7 years,insurance,37,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
900,no account,18,existing  credits paid back duly till now,furniture/equipment,1984,poor,1 to 4 years,most,male,single,0,more than 7 years,none,47,bank,free,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
901,poor,9,other bank,furniture/equipment,1154,poor,more than 7 years,moderate,male,single,0,more than 7 years,property,37,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
902,poor,45,other bank,used car,4576,moderate,unemployed,moderate,male,single,0,more than 7 years,saving,27,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
903,no account,15,existing  credits paid back duly till now,new car,5324,moderate,more than 7 years,less,female,married,0,more than 7 years,none,35,none,free,1,skilled,0,0,1,Good,Adult,within 2 year,middle
904,rich,36,existing  credits paid back duly till now,furniture/equipment,3919,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,23,none,own,1,skilled,0,1,1,Good,Youth,more than 2 year,middle
905,Negative,24,existing  credits paid back duly till now,used car,2910,poor,4 to 7 years,moderate,male,single,0,less than 1 year,none,34,none,free,1,office,0,1,1,Good,Adult,more than 2 year,middle
906,poor,12,existing  credits paid back duly till now,furniture/equipment,983,rich,less than 1  year,less,female,married,0,more than 7 years,property,19,none,rent,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
907,Negative,48,existing  credits paid back duly till now,new car,7763,poor,more than 7 years,most,male,single,0,more than 7 years,none,42,bank,free,1,office,0,0,1,Bad,Old.Adult,more than 2 year,middle
908,no account,24,other bank,other,6314,poor,unemployed,most,male,single,1,1 to 4 years,none,27,bank,own,more than 1,office,0,1,1,Good,Adult,more than 2 year,middle
909,no account,12,existing  credits paid back duly till now,furniture/equipment,707,poor,1 to 4 years,most,male,single,0,1 to 4 years,property,30,bank,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
910,no account,30,other bank,furniture/equipment,4530,poor,4 to 7 years,most,female,married,0,more than 7 years,saving,26,none,rent,1,office,0,1,1,Good,Adult,more than 2 year,middle
911,poor,9,existing  credits paid back duly till now,furniture/equipment,1670,poor,less than 1  year,most,female,married,0,1 to 4 years,saving,22,none,own,1,skilled,0,1,1,Bad,Youth,within 1 year,less than 2k
912,rich,10,existing  credits paid back duly till now,furniture/equipment,1275,poor,less than 1  year,most,female,married,0,1 to 4 years,insurance,23,none,own,1,skilled,0,0,1,Good,Youth,within 1 year,less than 2k
913,no account,11,existing  credits paid back duly till now,business,2142,rich,more than 7 years,less,male,single,0,1 to 4 years,property,28,none,own,1,skilled,0,1,1,Good,Adult,within 1 year,middle
914,poor,12,existing  credits paid back duly till now,furniture/equipment,1534,poor,less than 1  year,less,male,married,0,less than 1 year,property,23,none,rent,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
915,no account,12,other bank,furniture/equipment,1655,poor,more than 7 years,moderate,male,single,0,more than 7 years,property,63,none,own,more than 1,unskilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
916,no account,9,existing  credits paid back duly till now,furniture/equipment,1313,poor,more than 7 years,less,male,single,0,more than 7 years,saving,20,none,own,1,skilled,0,0,1,Good,Youth,within 1 year,less than 2k
917,no account,6,existing  credits paid back duly till now,education,1238,none,unemployed,most,male,single,0,more than 7 years,insurance,36,none,own,1,office,1,1,1,Good,Old.Adult,within 1 year,less than 2k
918,no account,10,existing  credits paid back duly till now,new car,1309,none,1 to 4 years,most,male,single,1,more than 7 years,insurance,27,none,own,1,unskilled,0,0,1,Bad,Adult,within 1 year,less than 2k
919,no account,10,existing  credits paid back duly till now,new car,1597,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,none,40,none,rent,1,unskilled,1,0,0,Good,Old.Adult,within 1 year,less than 2k
920,poor,48,existing  credits paid back duly till now,furniture/equipment,9960,poor,less than 1  year,less,female,married,0,1 to 4 years,saving,26,bank,own,1,skilled,0,1,1,Bad,Adult,more than 2 year,more than 10k
921,Negative,36,existing  credits paid back duly till now,furniture/equipment,3620,poor,1 to 4 years,less,male,single,1,1 to 4 years,insurance,37,none,own,1,skilled,1,0,1,Good,Old.Adult,more than 2 year,middle
922,no account,6,other bank,new car,362,moderate,1 to 4 years,most,female,married,0,more than 7 years,saving,52,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
923,no account,24,existing  credits paid back duly till now,used car,9277,none,1 to 4 years,moderate,male,single,0,more than 7 years,none,48,none,free,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
924,Negative,20,other bank,furniture/equipment,4272,poor,more than 7 years,less,female,married,0,more than 7 years,insurance,24,none,own,more than 1,skilled,0,0,1,Good,Youth,within 2 year,middle
925,poor,9,existing  credits paid back duly till now,new car,3195,none,1 to 4 years,less,female,married,0,1 to 4 years,property,33,none,own,1,unskilled,0,0,1,Good,Adult,within 1 year,middle
926,rich,18,existing  credits paid back duly till now,furniture/equipment,2100,poor,1 to 4 years,most,male,single,1,1 to 4 years,property,37,none,own,1,skilled,0,0,1,Bad,Old.Adult,within 2 year,middle
927,Negative,36,existing  credits paid back duly till now,other,15857,poor,unemployed,moderate,male,single,1,4 to 7 years,saving,43,none,own,1,office,0,0,1,Good,Old.Adult,more than 2 year,more than 10k
928,poor,54,no credits taken/ all credits paid back duly,business,15945,poor,less than 1  year,moderate,male,single,0,more than 7 years,none,58,none,rent,1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,more than 10k
929,Negative,36,delay history,business,2145,poor,4 to 7 years,moderate,male,single,0,less than 1 year,saving,24,none,own,more than 1,skilled,0,1,1,Bad,Youth,more than 2 year,middle
930,no account,12,existing  credits paid back duly till now,furniture/equipment,1574,poor,1 to 4 years,most,male,single,0,1 to 4 years,property,50,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
931,Negative,12,existing  credits paid back duly till now,furniture/equipment,709,poor,more than 7 years,most,male,single,0,more than 7 years,property,57,none,own,1,unskilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
932,poor,21,delay history,new car,2353,poor,1 to 4 years,less,male,single,0,more than 7 years,insurance,47,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,middle
933,Negative,24,existing  credits paid back duly till now,new car,915,none,more than 7 years,most,female,married,0,1 to 4 years,saving,29,bank,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
934,poor,12,no credits taken/ all credits paid back duly,education,1410,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,31,none,own,1,unskilled,0,1,1,Good,Adult,within 2 year,less than 2k
935,no account,36,delay history,furniture/equipment,4463,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,26,none,own,more than 1,office,0,1,1,Bad,Adult,more than 2 year,middle
936,no account,24,other bank,used car,2346,poor,4 to 7 years,most,male,single,0,4 to 7 years,saving,35,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,middle
937,rich,24,existing  credits paid back duly till now,furniture/equipment,1258,moderate,1 to 4 years,moderate,female,married,0,4 to 7 years,saving,57,none,own,1,unskilled,0,0,1,Good,Old.Adult,more than 2 year,less than 2k
938,no account,18,other bank,used car,3850,poor,4 to 7 years,moderate,male,single,0,less than 1 year,saving,27,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
939,no account,21,delay history,business,2580,moderate,less than 1  year,most,male,single,0,1 to 4 years,property,41,bank,own,1,unskilled,1,0,1,Bad,Old.Adult,within 2 year,middle
940,Negative,24,all credits at this bank paid back duly,new car,1193,poor,unemployed,less,female,married,1,more than 7 years,none,29,none,rent,more than 1,unemployed,0,0,1,Bad,Adult,more than 2 year,less than 2k
941,no account,15,existing  credits paid back duly till now,furniture/equipment,3568,poor,more than 7 years,most,female,married,0,1 to 4 years,saving,54,bank,rent,1,office,0,1,1,Good,Old.Adult,within 2 year,middle
942,poor,30,existing  credits paid back duly till now,furniture/equipment,3832,poor,less than 1  year,moderate,male,married,0,less than 1 year,insurance,22,none,own,1,skilled,0,0,1,Good,Youth,more than 2 year,middle
943,poor,12,existing  credits paid back duly till now,business,841,moderate,4 to 7 years,moderate,female,married,0,more than 7 years,property,23,none,rent,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
944,Negative,18,existing  credits paid back duly till now,furniture/equipment,3509,poor,4 to 7 years,most,female,married,1,less than 1 year,property,25,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
945,Negative,15,existing  credits paid back duly till now,domestic appliances,1275,none,1 to 4 years,most,female,married,0,1 to 4 years,saving,24,none,rent,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
946,poor,18,other bank,new car,884,poor,more than 7 years,most,male,single,0,more than 7 years,saving,36,none,own,1,skilled,1,1,1,Bad,Old.Adult,within 2 year,less than 2k
947,Negative,18,existing  credits paid back duly till now,furniture/equipment,2659,rich,1 to 4 years,most,male,single,0,1 to 4 years,saving,28,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
948,poor,36,existing  credits paid back duly till now,education,12612,moderate,1 to 4 years,less,male,single,0,more than 7 years,none,47,none,free,1,skilled,1,1,1,Bad,Old.Adult,more than 2 year,more than 10k
949,no account,12,other bank,furniture/equipment,797,none,more than 7 years,most,female,married,0,4 to 7 years,insurance,33,none,own,1,unskilled,1,0,1,Bad,Adult,within 2 year,less than 2k
950,poor,15,other bank,furniture/equipment,2728,none,4 to 7 years,most,male,single,1,1 to 4 years,property,35,bank,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
